,brand_ods_id,replace,released_on,ticker_symbol,genres,data_profile_dcs_uid,data_profile_channel_type,data_profile_source_type,data_affiliation_active_flag,data_affiliation_start_date_key,data_affiliation_end_date_key,genre_list,top_genre,released_year,year_bin,budget,production_company,rating,source,franchise,DomesticGross,genre_grouped,inflated_budget,budget_cat,inflated_boxoffice,year_q_bin,rank,production_company_bin,clusters_3,clusters_4,clusters_5
203,61016,Homefront,2013-11-27,,"Thriller, Action",e923c5c679d820f4f141020a4050ba00,facebook,search_term,t,101,7769,"['Thriller', 'Action']",Thriller,2013,3,22000000.0,Open Road Films,R,Not Original,No,20158492,Thriller,24143773.98,MediumBudget,22122821.57,1,223,Top100+,0,2,2
204,13733,Krampus,2015-12-04,CMCSA,"Comedy, Horror, Fantasy",7fc0c1d8e908f98603054564bde7549c,facebook,search_term,t,101,7769,"['Comedy', 'Horror', 'Fantasy']",Comedy,2015,5,15000000.0,Universal Pictures,PG-13,Original,No,42725475,Comedy,16179688.59,MediumBudget,46085658.68,2,3,Top5,0,0,3
205,37217,Oz the Great and Powerful,2013-03-08,DIS,"Family, Adventure, Fantasy",72e227a761bce14504fbea296b5d99dc,facebook,page,t,101,7769,"['Family', 'Adventure', 'Fantasy']",Family,2013,3,200000000.0,Walt Disney Pictures,PG,Not Original,Yes,234770996,Family,219488854.35,HighBudget,257648084.73,1,4,Top5,2,3,0
206,52116,Hotel Transylvania 3: Summer Vacation,2018-07-13,,"Family, Animation, Comedy",7021fda0ea36a7232947956243db6830,twitter,search_term,t,101,7769,"['Family', 'Animation', 'Comedy']",Family,2018,8,65000000.0,Sony Pictures,PG,Original,Yes,167500092,Family,66177936.55,HighBudget,170535545.54,3,193,Top100+,2,3,0
207,13746,Criminal (2016),2016-04-15,LGF.A,"Drama, Action, Crime",5ebe9b9c2c9b15cd388c88124478eb4e,twitter,search_term,t,101,7769,"['Drama', 'Action', 'Crime']",Drama,2016,6,31500000.0,Summit Entertainment,R,Original,No,38800000,Drama,33554033.98,MediumBudget,41330048.2,2,25,Top100,0,2,4
208,121645,One Child Nation,2019-08-09,,Documentary,5fb4cd643a6b9e678240635f58bde441,instagram,page,t,101,7769,['Documentary'],Documentary,2019,9,0.0,Amazon Studios,R,Not Original,No,271841,Documentary,0.0,LowBudget,271841.0,4,482,Top100+,1,1,1
209,150413,Richard Jewell,2019-12-13,T,Drama,793ca6f2b62341abd8b92719275944b3,twitter,search_term,t,101,7769,['Drama'],Drama,2019,9,45000000.0,Warner Bros.,R,Not Original,No,22345542,Drama,45000000.0,MediumBudget,22345542.0,4,1,Top5,1,1,4
210,43376,Midnight Sun,2018-03-23,,Drama,7add10a93e7aa8c54a6e8c8dc4105c22,twitter,search_term,t,101,7769,['Drama'],Drama,2018,8,2800000.0,Global Road Entertainment,PG-13,Remake,No,9561064,Drama,2850741.88,LowBudget,9734330.57,3,1237,Top100+,1,1,4
211,41149,The Greatest Showman,2017-12-20,FOXA,"Musical, Biography, Drama",3724696a3ade3f6138e8187dd2349f32,instagram,page,t,101,7769,"['Musical', 'Biography', 'Drama']",Musical,2017,7,84000000.0,20th Century Fox,PG,Not Original,No,174340174,Family,87611208.81,HighBudget,181835159.39,3,7,Top100,1,3,0
212,18137,Miracles from Heaven,2016-03-16,,Drama,bef4c62d5e6634621ae11fe52a0a3a27,facebook,page,t,101,7769,['Drama'],Drama,2016,6,13000000.0,Sony Pictures,PG,Not Original,No,61705123,Drama,13847696.56,MediumBudget,65728755.35,2,193,Top100+,1,1,4
213,19629,The Night Before,2015-11-20,,Comedy,8d153f42f7035a6e0999f098857706a4,twitter,search_term,t,101,7769,['Comedy'],Comedy,2015,5,25000000.0,Sony Pictures,R,Original,No,43035725,Comedy,26966147.65,MediumBudget,46420308.58,2,193,Top100+,1,1,4
214,120522,Poms,2019-05-10,,Comedy,f128bf41dc2813ef37b6f42b7d96c3a8,twitter,handle,t,101,7769,['Comedy'],Comedy,2019,9,10000000.0,STX Entertainment,PG-13,Original,No,13631124,Comedy,10000000.0,MediumBudget,13631124.0,4,219,Top100+,1,1,4
215,71501,Beautiful Boy,2018-10-12,AMZN,Drama,a35d1304f9d91fb6a9d628812cffe067,facebook,page,t,101,7769,['Drama'],Drama,2018,8,25000000.0,Amazon Studios,R,Not Original,No,7634767,Drama,25453052.52,MediumBudget,7773125.02,3,482,Top100+,1,1,4
216,21407,Valerian and the City of a Thousand Planets,2017-07-21,,"Action, Sci Fi",1293b84cfa6430399642b6c34353514d,facebook,page,t,101,7769,"['Action', 'Sci Fi']",Action,2017,7,180000000.0,STX Entertainment,PG-13,Not Original,No,40479370,Action,187738304.6,HighBudget,42219601.64,3,219,Top100+,2,0,3
217,127554,Lucy in the Sky,2019-10-04,FOXA,"Sci Fi, Drama",ae4853e57cfce714ec73bbbdbe8736e4,instagram,page,t,101,7769,"['Sci Fi', 'Drama']",Sci Fi,2019,9,27000000.0,Fox Searchlight Pictures,R,Original,No,319976,Fantasy,27000000.0,MediumBudget,319976.0,4,79,Top100,0,2,2
218,98621,Stuber,2019-07-12,FOXA,"Comedy, Action",2c80dbbd99810cf4195721caa0d7be66,facebook,search_term,t,101,7769,"['Comedy', 'Action']",Comedy,2019,9,16000000.0,20th Century Fox,R,Original,No,22370452,Comedy,16000000.0,MediumBudget,22370452.0,4,7,Top100,1,1,4
219,33059,Cars 3,2017-06-16,DIS,"Animation, Adventure, Comedy",99d52ba2d0189fabec23748226ff73f9,facebook,page,t,101,7769,"['Animation', 'Adventure', 'Comedy']",Animation,2017,7,175000000.0,Walt Disney Pictures,G,Original,Yes,152901115,Family,182523351.7,HighBudget,159474422.79,3,4,Top5,2,3,0
