,brand_ods_id,replace,released_on,ticker_symbol,genres,data_profile_dcs_uid,data_profile_channel_type,data_profile_source_type,data_affiliation_active_flag,data_affiliation_start_date_key,data_affiliation_end_date_key,genre_list,top_genre,released_year,year_bin
4740,99092,Jumanji: The Next Level ,2019-12-13,,"Comedy, Action",c890c3b652d6f046101fb85e089cdf9f,twitter,search_term,t,101,7769,"['Comedy', 'Action']",Comedy,2019,4
4741,63820,The Lion King (Live Action) ,2019-07-19,DIS,"Animation, Adventure, Comedy",9d223dd88ddc74c997e673269917ff28,twitter,search_term,t,101,7769,"['Animation', 'Adventure', 'Comedy']",Animation,2019,4
4742,110815,Men In Black: International ,2019-06-14,,"Sci Fi, Action, Comedy",d38072fdd69fb4190964bb2254861abf,facebook,page,t,101,7769,"['Sci Fi', 'Action', 'Comedy']",Sci Fi,2019,4
4743,102550,Zombieland: Double Tap ,2019-10-18,,"Horror, Action, Comedy",c243d1aa3e0b74c9adfefe9ed574da94,twitter,search_term,t,101,7769,"['Horror', 'Action', 'Comedy']",Horror,2019,4
4744,111122,Rambo: Last Blood ,2019-09-20,LGF.A,Action,5810d2077d29bbb9a3394263d16c017c,twitter,search_term,t,101,7769,['Action'],Action,2019,4
4745,114095,Child's Play ,2019-06-21,,Horror,4baf51eff4fdab7c6f373a6903be3a7d,twitter,search_term,t,101,7769,['Horror'],Horror,2019,4
4746,103513,After (2019) ,2019-04-12,,"Drama, Thriller, Romance",1673c6b33b1d30d44d346065962731eb,twitter,search_term,t,101,7769,"['Drama', 'Thriller', 'Romance']",Drama,2019,4
4747,75774,The Addams Family (2019) ,2019-10-11,,Animation,86c559b276098d24f377f4c308ca5de4,twitter,search_term,t,101,7769,['Animation'],Animation,2019,4
4748,24736,Jumanji: Welcome to the Jungle ,2017-12-20,,"Adventure, Fantasy, Family",c890c3b652d6f046101fb85e089cdf9f,twitter,search_term,t,101,7769,"['Adventure', 'Fantasy', 'Family']",Adventure,2017,2
4749,74896,Spider-Man: Into the Spider-Verse ,2018-12-14,,"Action, Animation, Family",054c8562916cbe736b6b4b2cf920495b,twitter,search_term,t,101,7769,"['Action', 'Animation', 'Family']",Action,2018,3
4750,10546,X-Men: Days of Future Past ,2014-05-23,FOXA,"Sci Fi, Adventure, Action",51b48386aa39620e5e5c183600648c72,facebook,search_term,t,101,7769,"['Sci Fi', 'Adventure', 'Action']",Sci Fi,2014,1
4751,123232,Black and Blue (2019) ,2019-10-25,,"Action, Crime, Drama",c143dd791061c4dd7fb777de2e94018d,instagram,page,t,101,7769,"['Action', 'Crime', 'Drama']",Action,2019,4
4752,91706,Peter Rabbit 2: The Runaway ,2021-01-15,,"Adventure, Comedy, Animation",b479b6e2bbf5289320805df3e8a2c798,facebook,search_term,t,101,7769,"['Adventure', 'Comedy', 'Animation']",Adventure,2021,5
4753,34331,Spider-Man: Homecoming ,2017-07-07,,"Adventure, Action, Sci Fi",d1100a3595953cf736ad1331dc232907,twitter,search_term,t,101,7769,"['Adventure', 'Action', 'Sci Fi']",Adventure,2017,2
4754,10660,Furious 7 ,2015-04-03,CMCSA,"Action, Thriller, Crime",dff3712b976781e4ecd9e5dbd23e9c54,facebook,search_term,t,101,7769,"['Action', 'Thriller', 'Crime']",Action,2015,1
4755,146437,Halloween Ends ,2021-10-15,CMCSA,"Horror, Thriller",df212f1d409f0d3b13a39b779c9837dd,twitter,search_term,t,101,7769,"['Horror', 'Thriller']",Horror,2021,5
4756,13013,Shazam! ,2019-04-05,T,"Action, Fantasy",de6ced980f50584fa9af0307efcdabe7,twitter,search_term,t,101,7769,"['Action', 'Fantasy']",Action,2019,4
4757,60789,Behind the Candelabra ,2013-01-26,,"Biography, Drama",5d34d89665f81063456c39e2abfc4ab5,twitter,search_term,t,101,7769,"['Biography', 'Drama']",Biography,2013,1
4758,34331,Spider-Man: Homecoming ,2017-07-07,,"Adventure, Action, Sci Fi",ec0b29d7351cf00ff98f699c937f2264,twitter,search_term,t,101,7769,"['Adventure', 'Action', 'Sci Fi']",Adventure,2017,2
4759,13744,The Conjuring 2 ,2016-06-10,T,"Mystery, Horror, Thriller",6fb907007a6fdc4f609fba4e186daad5,twitter,search_term,t,101,7769,"['Mystery', 'Horror', 'Thriller']",Mystery,2016,2
4760,119288,Knives Out ,2019-11-27,,"Drama, Thriller",9edd94b9c03977dfbe6d85e5dd4d5af7,instagram,page,t,101,7769,"['Drama', 'Thriller']",Drama,2019,4
4761,15904,The Boy ,2016-01-22,,"Thriller, Horror",8eeae326f3b239b089def7e29d899f31,instagram,page,t,101,7769,"['Thriller', 'Horror']",Thriller,2016,2
4762,119782,1917 ,2019-12-25,CMCSA,"Drama, War",e214fa2f8c8b10bc2d266beb32ced5de,twitter,handle,t,101,7769,"['Drama', 'War']",Drama,2019,4
4763,15904,The Boy ,2016-01-22,,"Thriller, Horror",2fb58c6ddfb50ebfb2139dbea2c84db2,twitter,search_term,t,101,7769,"['Thriller', 'Horror']",Thriller,2016,2
4764,10666,Avengers: Age of Ultron ,2015-05-01,DIS,"Adventure, Fantasy, Action",0ee4de465c5a04942d3808e8a35323db,twitter,search_term,t,101,7769,"['Adventure', 'Fantasy', 'Action']",Adventure,2015,1
4765,102551,Queen & Slim ,2019-11-27,CMCSA,Drama,f6fe7933f274c478f7f0a6bc38544ea4,facebook,search_term,t,101,7769,['Drama'],Drama,2019,4
4766,104366,Hustlers (2019) ,2019-09-13,,Drama,3fd01a37f56cfcf80344398a5c5de252,instagram,page,t,101,7769,['Drama'],Drama,2019,4
4767,75769,Pokémon Detective Pikachu ,2019-05-10,T,"Family, Action, Animation",618c599586243b515407c09a77e4250a,twitter,search_term,t,101,7769,"['Family', 'Action', 'Animation']",Family,2019,4
4768,10546,X-Men: Days of Future Past ,2014-05-23,FOXA,"Sci Fi, Adventure, Action",9358ce3d5c06eccd316b8f1d020b4843,twitter,search_term,t,101,7769,"['Sci Fi', 'Adventure', 'Action']",Sci Fi,2014,1
4769,69530,Aladdin (2019) ,2019-05-24,DIS,"Fantasy, Adventure, Family",7c86fd19f57814eecdb974de300d0a6b,twitter,search_term,t,101,7769,"['Fantasy', 'Adventure', 'Family']",Fantasy,2019,4
4770,30566,The Fate of the Furious ,2017-04-14,CMCSA,"Thriller, Action, Crime",8ad2d49a2010896216dcef4533b40a59,twitter,search_term,t,101,7769,"['Thriller', 'Action', 'Crime']",Thriller,2017,2
4771,10553,How to Train Your Dragon 2 ,2014-06-13,FOXA,"Adventure, Action, Animation",8b26657e60d9d90bc4de5f90a6bd2e64,twitter,search_term,t,101,7769,"['Adventure', 'Action', 'Animation']",Adventure,2014,1
4772,127224,Brahms: The Boy II ,2020-02-21,,"Mystery, Horror, Thriller",8eeae326f3b239b089def7e29d899f31,instagram,page,t,101,7769,"['Mystery', 'Horror', 'Thriller']",Mystery,2020,5
4773,132407,The Last Full Measure ,2020-01-24,,"Drama, War",2145fc851ad687620521913a356901d5,instagram,page,t,101,7769,"['Drama', 'War']",Drama,2020,5
4774,111814,Downton Abbey (2019) ,2019-09-20,CMCSA,Drama,2e692e6d17fa4b4ce51a77c132b4ef82,twitter,search_term,t,101,7769,['Drama'],Drama,2019,4
4775,34331,Spider-Man: Homecoming ,2017-07-07,,"Adventure, Action, Sci Fi",2583b78bfe854d00a0170216774da7bd,twitter,search_term,t,101,7769,"['Adventure', 'Action', 'Sci Fi']",Adventure,2017,2
4776,10683,Minions ,2015-07-10,CMCSA,"Action, Animation, Adventure",c7b6e529b1382a58db9eda0bd38ca05d,twitter,search_term,t,101,7769,"['Action', 'Animation', 'Adventure']",Action,2015,1
4777,59496,Star Wars: The Rise of Skywalker ,2019-12-20,DIS,"Action, Fantasy, Adventure",9493acbfa240e9fbdd26f3f6cf7273d8,twitter,search_term,t,101,7769,"['Action', 'Fantasy', 'Adventure']",Action,2019,4
4778,102551,Queen & Slim ,2019-11-27,CMCSA,Drama,1588783088e59bebeeecef3f54aaa67b,facebook,page,t,101,7769,['Drama'],Drama,2019,4
4779,75774,The Addams Family (2019) ,2019-10-11,,Animation,7c58c7b30a067e43e5360ac7f6ff50d1,twitter,handle,t,101,7769,['Animation'],Animation,2019,4
4780,101655,The Conjuring: The Devil Made Me Do It ,2020-09-11,T,Horror,6fb907007a6fdc4f609fba4e186daad5,twitter,search_term,t,101,7769,['Horror'],Horror,2020,5
4781,122253,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn) ,2020-02-07,T,"Adventure, Action",ef834da0f52638aa7032d6d7eb6bc801,twitter,search_term,t,101,7769,"['Adventure', 'Action']",Adventure,2020,5
4782,31830,Annabelle: Creation ,2017-08-11,T,"Thriller, Horror",95df8a4069b6598744463b2c9318fcce,twitter,handle,t,101,7769,"['Thriller', 'Horror']",Thriller,2017,2
4783,127802,Annabelle Comes Home ,2019-06-26,T,"Mystery, Thriller, Horror",95df8a4069b6598744463b2c9318fcce,twitter,handle,t,101,7769,"['Mystery', 'Thriller', 'Horror']",Mystery,2019,4
4784,82057,Sonic The Hedgehog (2020) ,2020-02-14,VIA,"Action, Adventure, Animation",3fb2ca879bc6d5724621117d8ba54cce,twitter,search_term,t,101,7769,"['Action', 'Adventure', 'Animation']",Action,2020,5
4785,13012,Aquaman ,2018-12-21,T,"Adventure, Action, Sci Fi",39db99b5a62460e5550faad61950f367,facebook,search_term,t,101,7769,"['Adventure', 'Action', 'Sci Fi']",Adventure,2018,3
4786,59502,Godzilla: King of the Monsters ,2019-05-31,T,"Adventure, Sci Fi, Action",3c6e40a7cde4d5ae9caaff0c3eb028a7,facebook,search_term,t,101,7769,"['Adventure', 'Sci Fi', 'Action']",Adventure,2019,4
4787,36315,Alien: Covenant ,2017-05-19,FOXA,"Horror, Adventure, Sci Fi",d2a35a6fba2fb7662307284e92fe2fee,twitter,search_term,t,101,7769,"['Horror', 'Adventure', 'Sci Fi']",Horror,2017,2
4788,99092,Jumanji: The Next Level ,2019-12-13,,"Comedy, Action",1af7b2649279cf848c8c1319d1171d54,twitter,search_term,t,101,7769,"['Comedy', 'Action']",Comedy,2019,4
4789,39893,It (2017) ,2017-09-08,T,"Horror, Drama, Thriller",2d161c95916330bd4bf99f49d0ac4e4f,twitter,search_term,t,101,7769,"['Horror', 'Drama', 'Thriller']",Horror,2017,2
4790,156520,Antebellum ,,,Thriller,94c61508d899324d29ea7557d3784208,twitter,handle,t,101,7769,['Thriller'],Thriller,,
4791,13744,The Conjuring 2 ,2016-06-10,T,"Mystery, Horror, Thriller",3bd47aabf2a30267f6f0df5764feb9ba,twitter,search_term,t,101,7769,"['Mystery', 'Horror', 'Thriller']",Mystery,2016,2
4792,10683,Minions ,2015-07-10,CMCSA,"Action, Animation, Adventure",498cec2c4c571df7c382ba57b1ba70ff,facebook,search_term,t,101,7769,"['Action', 'Animation', 'Adventure']",Action,2015,1
