,brand_ods_id,replace,released_on,ticker_symbol,genres,data_profile_dcs_uid,data_profile_channel_type,data_profile_source_type,data_affiliation_active_flag,data_affiliation_start_date_key,data_affiliation_end_date_key,genre_list,top_genre,released_year,year_bin,budget,production_company,rating,source,franchise,DomesticGross,genre_grouped,inflated_budget,budget_cat,inflated_boxoffice,year_q_bin,rank,production_company_bin,cluster_id
138,15397,Steve Jobs,2015-10-23,CMCSA,Biography,6374e322ac9706db32b485e6a6cd86f3,twitter,search_term,t,101,7769,['Biography'],Biography,2015,5,30000000.0,Universal Pictures,R,Not Original,No,17766658,Documentary,-0.49616092740404144,MediumBudget,-0.591426398111749,2,3,Top5,5
139,34336,Ferdinand,2017-12-15,FOXA,"Animation, Adventure, Comedy",dfaae80b5662f2b01e67592368a0ffd7,twitter,handle,t,101,7769,"['Animation', 'Adventure', 'Comedy']",Animation,2017,7,111000000.0,20th Century Fox,PG,Not Original,No,84410380,Family,0.6958300734931137,HighBudget,-0.2509149061217895,3,7,Top100,1
140,59500,UglyDolls,2019-05-03,,"Comedy, Adventure, Animation",e55351116fb098f62b3eaebee20bf2f6,instagram,page,t,101,7769,"['Comedy', 'Adventure', 'Animation']",Comedy,2019,9,45000000.0,STX Entertainment,PG,Not Original,No,20150241,Comedy,-0.3155225976763246,MediumBudget,-0.5865502052358254,4,219,Top100+,1
141,12991,Straight Outta Compton,2015-08-14,CMCSA,"Biography, Music",0ee82ef969e3a8c9ffa88a06b3665cf9,facebook,page,t,101,7769,"['Biography', 'Music']",Biography,2015,5,28000000.0,Universal Pictures,R,Not Original,No,161197785,Documentary,-0.5269892810895497,MediumBudget,0.1734488208605712,2,3,Top5,5
142,70298,"Love, Simon",2018-03-16,FOXA,"Adult, Adventure",4adb36a93965e2fc0c62825a645f631e,twitter,search_term,t,101,7769,"['Adult', 'Adventure']",Adult,2018,8,10000000.0,20th Century Fox,PG-13,Not Original,No,40826341,Drama,-0.8130934982146036,MediumBudget,-0.48067218592500016,3,7,Top100,0
143,17973,By the Sea,2015-11-13,CMCSA,"Drama, Romance",ce98040ff232cda9eff096e8d375366f,facebook,search_term,t,101,7769,"['Drama', 'Romance']",Drama,2015,5,20000000.0,Universal Pictures,R,Original,No,538460,Drama,-0.6503026952599704,MediumBudget,-0.6832992153647067,2,3,Top5,3
144,11436,The Theory of Everything,2014-11-26,CMCSA,"Biography, Drama",d30a700b1f5039ce082ebc4c3a030fe4,facebook,page,t,101,7769,"['Biography', 'Drama']",Biography,2014,4,15000000.0,Focus Features,PG-13,Not Original,No,35893537,Documentary,-0.7270992982580314,MediumBudget,-0.4945341207972485,1,81,Top100,0
145,10602,The Interview,2014-12-24,,Comedy,28e56f2f2ecfba828b1c6d5b415ceffb,facebook,search_term,t,101,7769,['Comedy'],Comedy,2014,4,44000000.0,Sony Pictures,R,Original,No,6105175,Comedy,-0.2795578951161528,MediumBudget,-0.6535749708661405,1,193,Top100+,3
146,79431,Superfly,2018-06-13,,"Action, Drama, Crime",b7bd786f369ccb46da497c6a12b604a6,facebook,search_term,t,101,7769,"['Action', 'Drama', 'Crime']",Action,2018,8,16000000.0,Sony Pictures,R,Remake,No,20537137,Action,-0.7257978586460104,MediumBudget,-0.5827974409043004,3,193,Top100+,2
147,73009,Truth or Dare,2018-04-13,CMCSA,"Thriller, Horror",a9c927eff2722eda30e3e695fee2013d,twitter,search_term,t,101,7769,"['Thriller', 'Horror']",Thriller,2018,8,3500000.0,Universal Pictures,PG-13,Original,No,41411015,Thriller,-0.9076637745568158,LowBudget,-0.4777292423652039,3,3,Top5,9
